variant,seed,dataset,data_loading_option,model_type,num_clients,beta,hop,use_pe,fulltraining_flag,repetition,fl_round,avg_client_val_acc,avg_client_val_loss,best_eval_acc_so_far,best_eval_loss_so_far,patience,round_time_s,global_test_acc
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,0,0.2148290125741803,1.920343267917633,0.2148290125741803,,0,5.594,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,1,0.24038189398269166,1.8973956942558288,0.24038189398269166,,0,0.896,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,2,0.3087825075845446,1.867897629737854,0.3087825075845446,,0,0.895,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,3,0.37060303545969603,1.833741343021393,0.37060303545969603,,0,0.87,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,4,0.41426346133923453,1.7985416531562806,0.41426346133923453,,0,0.887,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,5,0.4458097794519745,1.7585640788078307,0.4458097794519745,,0,0.889,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,6,0.4726956801993838,1.7191645979881287,0.4726956801993838,,0,0.89,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,7,0.4999844939901359,1.6788798093795776,0.4999844939901359,,0,0.887,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,8,0.511047677981286,1.6385926604270935,0.511047677981286,,0,0.874,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,9,0.525255854733082,1.603465974330902,0.525255854733082,,0,0.885,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,10,0.530855378447808,1.5658118367195129,0.530855378447808,,0,0.882,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,11,0.5347495428606186,1.5337205529212952,0.5347495428606186,,0,0.893,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,12,0.5444736184969574,1.5022086262702943,0.5444736184969574,,0,0.89,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,13,0.5463589880293858,1.4738287448883056,0.5463589880293858,,0,0.875,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,14,0.5520056841228904,1.4486934661865234,0.5520056841228904,,0,0.898,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,15,0.5541781457058956,1.427040708065033,0.5541781457058956,,0,0.885,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,16,0.5576405062807697,1.4019543528556824,0.5576405062807697,,0,0.889,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,17,0.5684348325219044,1.384310519695282,0.5684348325219044,,0,0.882,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,18,0.5681733946134078,1.3681841731071471,0.5684348325219044,1.3681841731071471,0,0.875,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,19,0.5661356872227591,1.3512762308120727,0.5684348325219044,1.3512762308120727,0,0.877,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,20,0.5652700192693544,1.33927321434021,0.5684348325219044,1.33927321434021,0,0.875,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,21,0.5633912685874123,1.322504949569702,0.5684348325219044,1.322504949569702,0,0.89,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,22,0.5633912685874123,1.3114046931266785,0.5684348325219044,1.3114046931266785,0,0.887,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,23,0.5696538948500385,1.3012947916984559,0.5696538948500385,1.3114046931266785,0,0.87,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,24,0.5693924569415418,1.290782618522644,0.5696538948500385,1.290782618522644,0,0.885,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,25,0.5734812103290757,1.2812942385673523,0.5734812103290757,1.290782618522644,0,0.879,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,26,0.5821755538682557,1.2714056372642517,0.5821755538682557,1.290782618522644,0,0.894,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,27,0.5728593407133367,1.2646856546401977,0.5821755538682557,1.2646856546401977,0,0.872,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,28,0.5771648962688921,1.2569388389587401,0.5821755538682557,1.2569388389587401,0,0.879,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,29,0.5818752097728248,1.2513142466545104,0.5821755538682557,1.2513142466545104,0,0.884,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,30,0.5774263341773889,1.2413556337356568,0.5821755538682557,1.2413556337356568,0,0.892,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,31,0.5793871184911144,1.239393663406372,0.5821755538682557,1.239393663406372,0,0.892,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,32,0.5775496007413333,1.232750916481018,0.5821755538682557,1.232750916481018,0,0.88,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,33,0.5795496007413334,1.2264992117881774,0.5821755538682557,1.2264992117881774,0,0.89,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,34,0.5775496007413333,1.2238855719566346,0.5821755538682557,1.2238855719566346,0,0.881,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,35,0.5811675929186476,1.220533835887909,0.5821755538682557,1.220533835887909,0,0.878,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,36,0.5815560109977438,1.218679702281952,0.5821755538682557,1.218679702281952,0,0.895,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,37,0.5872117105657064,1.210907757282257,0.5872117105657064,1.218679702281952,0,0.884,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,38,0.5891724948794319,1.2096761226654054,0.5891724948794319,1.218679702281952,0,0.88,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,39,0.587172494879432,1.2070043206214904,0.5891724948794319,1.2070043206214904,0,0.872,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,40,0.5874006565482717,1.2031519532203674,0.5891724948794319,1.2031519532203674,0,0.875,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,41,0.5854006565482716,1.201392900943756,0.5891724948794319,1.201392900943756,0,0.881,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,42,0.5854006565482716,1.1990010619163514,0.5891724948794319,1.1990010619163514,0,0.892,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,43,0.5854006565482716,1.197397804260254,0.5891724948794319,1.197397804260254,0,0.863,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,44,0.5834006565482717,1.196292555332184,0.5891724948794319,1.196292555332184,0,0.889,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,45,0.5853614408619972,1.193687331676483,0.5891724948794319,1.193687331676483,0,0.869,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,46,0.5811504479541957,1.1924575924873353,0.5891724948794319,1.1924575924873353,0,0.877,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,47,0.5790227883797276,1.1922606825828552,0.5891724948794319,1.1922606825828552,0,0.884,
baseline,0,Cora,zero_hop,GCN,10,10000,1,False,False,1,48,0.5893398647465536,1.187972116470337,0.5893398647465536,1.1922606825828552,0,0.862,
