,client_id,training_losses,training_accuracies,validation_losses,epochs_data
0,0,"[1.9476239681243896, 1.9002764225006104, 1.9486958980560303, 1.8972206115722656, 1.960128903388977, 1.8993914127349854]","[0.07142857142857142, 0.42857142857142855, 0.0, 0.35714285714285715, 0.0, 0.35714285714285715]",[],"[{'epoch': 0, 'round': 0, 'loss': 1.9476239681243896, 'accuracy': 0.07142857142857142}, {'epoch': 1, 'round': 0, 'loss': 1.9002764225006104, 'accuracy': 0.42857142857142855}, {'epoch': 0, 'round': 1, 'loss': 1.9486958980560303, 'accuracy': 0.0}, {'epoch': 1, 'round': 1, 'loss': 1.8972206115722656, 'accuracy': 0.35714285714285715}, {'epoch': 0, 'round': 2, 'loss': 1.960128903388977, 'accuracy': 0.0}, {'epoch': 1, 'round': 2, 'loss': 1.8993914127349854, 'accuracy': 0.35714285714285715}]"
1,1,"[1.9446828365325928, 1.9017181396484375, 1.944137692451477, 1.8716048002243042, 1.938134789466858, 1.8665111064910889]","[0.25, 0.3125, 0.0625, 0.3125, 0.25, 0.3125]",[],"[{'epoch': 0, 'round': 0, 'loss': 1.9446828365325928, 'accuracy': 0.25}, {'epoch': 1, 'round': 0, 'loss': 1.9017181396484375, 'accuracy': 0.3125}, {'epoch': 0, 'round': 1, 'loss': 1.944137692451477, 'accuracy': 0.0625}, {'epoch': 1, 'round': 1, 'loss': 1.8716048002243042, 'accuracy': 0.3125}, {'epoch': 0, 'round': 2, 'loss': 1.938134789466858, 'accuracy': 0.25}, {'epoch': 1, 'round': 2, 'loss': 1.8665111064910889, 'accuracy': 0.3125}]"
2,2,"[1.946775197982788, 1.903454065322876, 1.9410438537597656, 1.8946510553359985, 1.944159746170044, 1.8906768560409546]","[0.06666666666666667, 0.4, 0.2, 0.2, 0.06666666666666667, 0.26666666666666666]",[],"[{'epoch': 0, 'round': 0, 'loss': 1.946775197982788, 'accuracy': 0.06666666666666667}, {'epoch': 1, 'round': 0, 'loss': 1.903454065322876, 'accuracy': 0.4}, {'epoch': 0, 'round': 1, 'loss': 1.9410438537597656, 'accuracy': 0.2}, {'epoch': 1, 'round': 1, 'loss': 1.8946510553359985, 'accuracy': 0.2}, {'epoch': 0, 'round': 2, 'loss': 1.944159746170044, 'accuracy': 0.06666666666666667}, {'epoch': 1, 'round': 2, 'loss': 1.8906768560409546, 'accuracy': 0.26666666666666666}]"
3,3,"[1.9467551708221436, 1.8901035785675049, 1.9493154287338257, 1.861881971359253, 1.9459819793701172, 1.8300224542617798]","[0.1, 0.3, 0.0, 0.3, 0.1, 0.3]",[],"[{'epoch': 0, 'round': 0, 'loss': 1.9467551708221436, 'accuracy': 0.1}, {'epoch': 1, 'round': 0, 'loss': 1.8901035785675049, 'accuracy': 0.3}, {'epoch': 0, 'round': 1, 'loss': 1.9493154287338257, 'accuracy': 0.0}, {'epoch': 1, 'round': 1, 'loss': 1.861881971359253, 'accuracy': 0.3}, {'epoch': 0, 'round': 2, 'loss': 1.9459819793701172, 'accuracy': 0.1}, {'epoch': 1, 'round': 2, 'loss': 1.8300224542617798, 'accuracy': 0.3}]"
4,4,"[1.9441519975662231, 1.8878945112228394, 1.9357656240463257, 1.8590832948684692, 1.9353008270263672, 1.8585842847824097]","[0.14285714285714285, 0.35714285714285715, 0.14285714285714285, 0.35714285714285715, 0.2857142857142857, 0.35714285714285715]",[],"[{'epoch': 0, 'round': 0, 'loss': 1.9441519975662231, 'accuracy': 0.14285714285714285}, {'epoch': 1, 'round': 0, 'loss': 1.8878945112228394, 'accuracy': 0.35714285714285715}, {'epoch': 0, 'round': 1, 'loss': 1.9357656240463257, 'accuracy': 0.14285714285714285}, {'epoch': 1, 'round': 1, 'loss': 1.8590832948684692, 'accuracy': 0.35714285714285715}, {'epoch': 0, 'round': 2, 'loss': 1.9353008270263672, 'accuracy': 0.2857142857142857}, {'epoch': 1, 'round': 2, 'loss': 1.8585842847824097, 'accuracy': 0.35714285714285715}]"
5,5,"[1.9429876804351807, 1.9083141088485718, 1.939429521560669, 1.8989051580429077, 1.937037706375122, 1.8774861097335815]","[0.13333333333333333, 0.26666666666666666, 0.26666666666666666, 0.3333333333333333, 0.13333333333333333, 0.26666666666666666]",[],"[{'epoch': 0, 'round': 0, 'loss': 1.9429876804351807, 'accuracy': 0.13333333333333333}, {'epoch': 1, 'round': 0, 'loss': 1.9083141088485718, 'accuracy': 0.26666666666666666}, {'epoch': 0, 'round': 1, 'loss': 1.939429521560669, 'accuracy': 0.26666666666666666}, {'epoch': 1, 'round': 1, 'loss': 1.8989051580429077, 'accuracy': 0.3333333333333333}, {'epoch': 0, 'round': 2, 'loss': 1.937037706375122, 'accuracy': 0.13333333333333333}, {'epoch': 1, 'round': 2, 'loss': 1.8774861097335815, 'accuracy': 0.26666666666666666}]"
6,6,"[1.9435440301895142, 1.8921787738800049, 1.943673849105835, 1.8616656064987183, 1.9370192289352417, 1.8429839611053467]","[0.2857142857142857, 0.2857142857142857, 0.07142857142857142, 0.42857142857142855, 0.14285714285714285, 0.21428571428571427]",[],"[{'epoch': 0, 'round': 0, 'loss': 1.9435440301895142, 'accuracy': 0.2857142857142857}, {'epoch': 1, 'round': 0, 'loss': 1.8921787738800049, 'accuracy': 0.2857142857142857}, {'epoch': 0, 'round': 1, 'loss': 1.943673849105835, 'accuracy': 0.07142857142857142}, {'epoch': 1, 'round': 1, 'loss': 1.8616656064987183, 'accuracy': 0.42857142857142855}, {'epoch': 0, 'round': 2, 'loss': 1.9370192289352417, 'accuracy': 0.14285714285714285}, {'epoch': 1, 'round': 2, 'loss': 1.8429839611053467, 'accuracy': 0.21428571428571427}]"
7,7,"[1.9467943906784058, 1.9367915391921997, 1.9499741792678833, 1.9319803714752197, 1.9532500505447388, 1.931287169456482]","[0.2, 0.2, 0.13333333333333333, 0.2, 0.06666666666666667, 0.2]",[],"[{'epoch': 0, 'round': 0, 'loss': 1.9467943906784058, 'accuracy': 0.2}, {'epoch': 1, 'round': 0, 'loss': 1.9367915391921997, 'accuracy': 0.2}, {'epoch': 0, 'round': 1, 'loss': 1.9499741792678833, 'accuracy': 0.13333333333333333}, {'epoch': 1, 'round': 1, 'loss': 1.9319803714752197, 'accuracy': 0.2}, {'epoch': 0, 'round': 2, 'loss': 1.9532500505447388, 'accuracy': 0.06666666666666667}, {'epoch': 1, 'round': 2, 'loss': 1.931287169456482, 'accuracy': 0.2}]"
8,8,"[1.9450724124908447, 1.931336522102356, 1.9466361999511719, 1.9376957416534424, 1.9503507614135742, 1.9303715229034424]","[0.2857142857142857, 0.35714285714285715, 0.14285714285714285, 0.07142857142857142, 0.14285714285714285, 0.21428571428571427]",[],"[{'epoch': 0, 'round': 0, 'loss': 1.9450724124908447, 'accuracy': 0.2857142857142857}, {'epoch': 1, 'round': 0, 'loss': 1.931336522102356, 'accuracy': 0.35714285714285715}, {'epoch': 0, 'round': 1, 'loss': 1.9466361999511719, 'accuracy': 0.14285714285714285}, {'epoch': 1, 'round': 1, 'loss': 1.9376957416534424, 'accuracy': 0.07142857142857142}, {'epoch': 0, 'round': 2, 'loss': 1.9503507614135742, 'accuracy': 0.14285714285714285}, {'epoch': 1, 'round': 2, 'loss': 1.9303715229034424, 'accuracy': 0.21428571428571427}]"
9,9,"[1.9464671611785889, 1.9299910068511963, 1.945861577987671, 1.915389895439148, 1.9532687664031982, 1.927753210067749]","[0.07692307692307693, 0.23076923076923078, 0.38461538461538464, 0.3076923076923077, 0.23076923076923078, 0.23076923076923078]",[],"[{'epoch': 0, 'round': 0, 'loss': 1.9464671611785889, 'accuracy': 0.07692307692307693}, {'epoch': 1, 'round': 0, 'loss': 1.9299910068511963, 'accuracy': 0.23076923076923078}, {'epoch': 0, 'round': 1, 'loss': 1.945861577987671, 'accuracy': 0.38461538461538464}, {'epoch': 1, 'round': 1, 'loss': 1.915389895439148, 'accuracy': 0.3076923076923077}, {'epoch': 0, 'round': 2, 'loss': 1.9532687664031982, 'accuracy': 0.23076923076923078}, {'epoch': 1, 'round': 2, 'loss': 1.927753210067749, 'accuracy': 0.23076923076923078}]"
